Run,Tag,Group
SRR7533814,1,SRR7533814
SRR7533815,0,SRR7533815
SRR7533816,1,SRR7533816
SRR7533817,0,SRR7533817
SRR7533818,0,SRR7533818
SRR7533819,0,SRR7533819
SRR7533820,1,SRR7533820
SRR7533821,0,SRR7533821
SRR7533822,0,SRR7533822
SRR7533823,0,SRR7533823
SRR7533824,0,SRR7533824
SRR7533825,0,SRR7533825
SRR7533826,0,SRR7533826
SRR7533827,0,SRR7533827
SRR7533828,0,SRR7533828
SRR7533829,0,SRR7533829
SRR7533830,1,SRR7533830
SRR7533831,1,SRR7533831
SRR7533832,0,SRR7533832
SRR7533833,1,SRR7533833
SRR7533834,0,SRR7533834
SRR7533835,1,SRR7533835
SRR7533836,1,SRR7533836
SRR7533837,1,SRR7533837
SRR7533838,0,SRR7533838
SRR7533839,1,SRR7533839
SRR7533840,1,SRR7533840
SRR7533841,1,SRR7533841
SRR7533842,0,SRR7533842
SRR7533843,1,SRR7533843
SRR7533844,1,SRR7533844
SRR7533845,0,SRR7533845
SRR7533846,0,SRR7533846
SRR7533847,1,SRR7533847
SRR7533848,0,SRR7533848
SRR7533849,1,SRR7533849
SRR7533850,1,SRR7533850
SRR7533851,0,SRR7533851
SRR7533852,1,SRR7533852
SRR7533853,0,SRR7533853
SRR7533854,1,SRR7533854
SRR7533855,0,SRR7533855
SRR7533856,1,SRR7533856
SRR7533857,0,SRR7533857
SRR7533858,0,SRR7533858
SRR7533859,0,SRR7533859
SRR7533860,0,SRR7533860
SRR7533861,0,SRR7533861
SRR7533862,1,SRR7533862
SRR7533863,0,SRR7533863
SRR7533864,1,SRR7533864
SRR7533865,0,SRR7533865
SRR7533866,1,SRR7533866
SRR7533867,1,SRR7533867
SRR7533868,0,SRR7533868
SRR7533869,1,SRR7533869
SRR7533870,1,SRR7533870
SRR7533871,1,SRR7533871
SRR7533872,1,SRR7533872
SRR7533873,1,SRR7533873
SRR7533874,1,SRR7533874
SRR7533875,1,SRR7533875
SRR7533876,0,SRR7533876
SRR7533877,0,SRR7533877
SRR7533878,0,SRR7533878
SRR7533879,1,SRR7533879
SRR7533880,1,SRR7533880
SRR7533881,0,SRR7533881
SRR7533882,0,SRR7533882
SRR7533883,0,SRR7533883
SRR7533884,1,SRR7533884
SRR7533885,1,SRR7533885
SRR7533886,0,SRR7533886
SRR7533887,0,SRR7533887
SRR7533888,0,SRR7533888
SRR7533889,0,SRR7533889
SRR7533890,0,SRR7533890
SRR7533891,1,SRR7533891
SRR7533892,0,SRR7533892
SRR7533893,0,SRR7533893
SRR7533894,1,SRR7533894
SRR7533895,0,SRR7533895
SRR7533896,0,SRR7533896
SRR7533897,1,SRR7533897
SRR7533898,0,SRR7533898
SRR7533899,0,SRR7533899
SRR7533900,1,SRR7533900
SRR7533901,1,SRR7533901
SRR7533902,0,SRR7533902
SRR7533903,1,SRR7533903
SRR7533904,0,SRR7533904
SRR7533905,1,SRR7533905
SRR7533906,1,SRR7533906
SRR7533907,1,SRR7533907
SRR7533908,0,SRR7533908
SRR7533909,0,SRR7533909
SRR7533910,0,SRR7533910
SRR7533911,0,SRR7533911
SRR7533912,0,SRR7533912
SRR7533913,0,SRR7533913
SRR7533914,0,SRR7533914
SRR7533915,1,SRR7533915
SRR7533916,0,SRR7533916
SRR7533917,1,SRR7533917
SRR7533918,0,SRR7533918
SRR7533919,1,SRR7533919
SRR7533920,0,SRR7533920
SRR7533921,1,SRR7533921
SRR7533922,0,SRR7533922
SRR7533923,0,SRR7533923
SRR7533924,0,SRR7533924
SRR7533925,1,SRR7533925
SRR7533926,1,SRR7533926
SRR7533927,0,SRR7533927
SRR7533928,1,SRR7533928
SRR7533929,1,SRR7533929
SRR7533930,1,SRR7533930
SRR7533931,0,SRR7533931
SRR7533932,0,SRR7533932
SRR7533933,0,SRR7533933
SRR7533934,0,SRR7533934
SRR7533935,0,SRR7533935
SRR7533936,1,SRR7533936
SRR7533937,1,SRR7533937
SRR7533938,1,SRR7533938
SRR7533939,0,SRR7533939
SRR7533940,1,SRR7533940
SRR7533941,0,SRR7533941
SRR7533942,1,SRR7533942
SRR7533943,1,SRR7533943
SRR7533944,1,SRR7533944
SRR7533945,1,SRR7533945
SRR7533946,0,SRR7533946
SRR7533947,1,SRR7533947
SRR7533948,0,SRR7533948
SRR7533949,0,SRR7533949
SRR7533950,0,SRR7533950
SRR7533951,0,SRR7533951
SRR7533952,1,SRR7533952
SRR7533953,0,SRR7533953
SRR7533954,0,SRR7533954
SRR7533955,1,SRR7533955
SRR7533956,0,SRR7533956
SRR7533957,1,SRR7533957
SRR7533958,1,SRR7533958
SRR7533959,0,SRR7533959
SRR7533960,1,SRR7533960
SRR7533961,0,SRR7533961
SRR7533962,1,SRR7533962
SRR7533963,0,SRR7533963
SRR7533964,0,SRR7533964
SRR7533965,0,SRR7533965
SRR7533966,0,SRR7533966
SRR7533967,1,SRR7533967
SRR7533968,0,SRR7533968
SRR7533969,1,SRR7533969
SRR7533970,0,SRR7533970
SRR7533971,0,SRR7533971
SRR7533972,0,SRR7533972
SRR7533973,0,SRR7533973
SRR7533974,1,SRR7533974
SRR7533975,1,SRR7533975
SRR7533976,0,SRR7533976
SRR7533977,0,SRR7533977
SRR7533978,1,SRR7533978
SRR7533979,0,SRR7533979
SRR7533980,0,SRR7533980
SRR7533981,1,SRR7533981
SRR7533982,0,SRR7533982
SRR7533983,0,SRR7533983
SRR7533984,1,SRR7533984
SRR7533985,0,SRR7533985
SRR7533986,0,SRR7533986
SRR7533987,0,SRR7533987
SRR7533988,0,SRR7533988
SRR7533989,1,SRR7533989
SRR7533990,1,SRR7533990
SRR7533991,0,SRR7533991
SRR7533992,0,SRR7533992
