index,Tag,Group
SRR8902009,0,SRR8902009
SRR8902010,0,SRR8902010
SRR8902011,0,SRR8902011
SRR8902012,0,SRR8902012
SRR8902013,0,SRR8902013
SRR8902014,0,SRR8902014
SRR8902015,0,SRR8902015
SRR8902016,0,SRR8902016
SRR8902017,0,SRR8902017
SRR8902018,0,SRR8902018
SRR8902019,1,SRR8902019
SRR8902020,1,SRR8902020
SRR8902021,1,SRR8902021
SRR8902022,1,SRR8902022
SRR8902023,1,SRR8902023
SRR8902024,1,SRR8902024
SRR8902025,1,SRR8902025
SRR8902026,1,SRR8902026
SRR8902027,1,SRR8902027
SRR8902028,1,SRR8902028
SRR8902029,1,SRR8902029
SRR8902030,1,SRR8902030
SRR8902031,1,SRR8902031
SRR8902032,1,SRR8902032
SRR8902033,0,SRR8902033
SRR8902034,0,SRR8902034
SRR8902035,1,SRR8902035
SRR8902036,1,SRR8902036
SRR8902037,1,SRR8902037
SRR8902038,1,SRR8902038
SRR8902039,1,SRR8902039
SRR8902040,1,SRR8902040
SRR8902041,1,SRR8902041
SRR8902042,1,SRR8902042
SRR8902043,1,SRR8902043
SRR8902044,1,SRR8902044
SRR8902045,1,SRR8902045
SRR8902046,1,SRR8902046
SRR8902047,1,SRR8902047
SRR8902048,1,SRR8902048
SRR8902049,1,SRR8902049
SRR8902050,1,SRR8902050
SRR8902051,1,SRR8902051
SRR8902052,0,SRR8902052
SRR8902053,0,SRR8902053
SRR8902054,0,SRR8902054
SRR8902055,0,SRR8902055
SRR8902056,0,SRR8902056
SRR8902057,0,SRR8902057
SRR8902058,0,SRR8902058
SRR8902059,0,SRR8902059
SRR8902060,0,SRR8902060
SRR8902061,0,SRR8902061
SRR8902062,1,SRR8902062
SRR8902063,1,SRR8902063
SRR8902064,1,SRR8902064
SRR8902065,1,SRR8902065
SRR8902066,1,SRR8902066
SRR8902067,1,SRR8902067
SRR8902068,1,SRR8902068
SRR8902069,1,SRR8902069
SRR8902070,1,SRR8902070
SRR8902071,1,SRR8902071
SRR8902072,0,SRR8902072
SRR8902073,0,SRR8902073
SRR8902074,0,SRR8902074
SRR8902075,0,SRR8902075
SRR8902076,0,SRR8902076
SRR8902077,0,SRR8902077
SRR8902078,0,SRR8902078
SRR8902079,0,SRR8902079
SRR8902080,0,SRR8902080
SRR8902081,0,SRR8902081
SRR8902082,1,SRR8902082
SRR8902083,1,SRR8902083
SRR8902084,1,SRR8902084
SRR8902085,1,SRR8902085
SRR8902086,1,SRR8902086
SRR8902087,1,SRR8902087
SRR8902088,1,SRR8902088
SRR8902089,1,SRR8902089
SRR8902090,1,SRR8902090
SRR8902091,1,SRR8902091
SRR8902092,0,SRR8902092
SRR8902093,0,SRR8902093
SRR8902094,0,SRR8902094
SRR8902095,0,SRR8902095
SRR8902096,0,SRR8902096
SRR8902097,0,SRR8902097
SRR8902098,0,SRR8902098
SRR8902099,0,SRR8902099
SRR8902100,0,SRR8902100
SRR8902101,0,SRR8902101
SRR8902102,0,SRR8902102
SRR8902103,0,SRR8902103
SRR8902104,0,SRR8902104
SRR8902105,0,SRR8902105
SRR8902106,0,SRR8902106
SRR8902107,0,SRR8902107
SRR8902108,0,SRR8902108
SRR8902109,0,SRR8902109
SRR8902110,0,SRR8902110
SRR8902111,0,SRR8902111
SRR8902112,0,SRR8902112
SRR8902113,0,SRR8902113
SRR8902114,0,SRR8902114
SRR8902115,0,SRR8902115
SRR8902116,0,SRR8902116
SRR8902117,0,SRR8902117
SRR8902118,0,SRR8902118
SRR8902119,0,SRR8902119
SRR8902120,0,SRR8902120
SRR8902121,0,SRR8902121
SRR8902122,1,SRR8902122
SRR8902123,1,SRR8902123
SRR8902124,1,SRR8902124
SRR8902125,1,SRR8902125
SRR8902126,1,SRR8902126
SRR8902127,1,SRR8902127
SRR8902128,1,SRR8902128
SRR8902129,1,SRR8902129
SRR8902130,1,SRR8902130
SRR8902131,1,SRR8902131
