Run,Tag,Group
SRR6664311,1,SRR6664311
SRR6664312,1,SRR6664312
SRR6664313,1,SRR6664313
SRR6664314,1,SRR6664314
SRR6664315,0,SRR6664315
SRR6664316,1,SRR6664316
SRR6664317,1,SRR6664317
SRR6664318,1,SRR6664318
SRR6664319,1,SRR6664319
SRR6664320,0,SRR6664320
SRR6664321,0,SRR6664321
SRR6664322,1,SRR6664322
SRR6664323,1,SRR6664323
SRR6664324,1,SRR6664324
SRR6664325,1,SRR6664325
SRR6664326,0,SRR6664326
SRR6664327,1,SRR6664327
SRR6664328,1,SRR6664328
SRR6664329,1,SRR6664329
SRR6664330,0,SRR6664330
SRR6664331,1,SRR6664331
SRR6664332,1,SRR6664332
SRR6664333,0,SRR6664333
SRR6664334,1,SRR6664334
SRR6664335,1,SRR6664335
SRR6664336,1,SRR6664336
SRR6664337,0,SRR6664337
SRR6664338,1,SRR6664338
SRR6664339,1,SRR6664339
SRR6664340,1,SRR6664340
SRR6664341,1,SRR6664341
SRR6664342,0,SRR6664342
SRR6664343,1,SRR6664343
SRR6664344,0,SRR6664344
SRR6664345,1,SRR6664345
SRR6664346,1,SRR6664346
SRR6664347,0,SRR6664347
SRR6664348,1,SRR6664348
SRR6664349,1,SRR6664349
SRR6664350,1,SRR6664350
SRR6664351,1,SRR6664351
SRR6664352,1,SRR6664352
SRR6664353,1,SRR6664353
SRR6664354,0,SRR6664354
SRR6664355,1,SRR6664355
SRR6664356,0,SRR6664356
SRR6664357,1,SRR6664357
SRR6664358,0,SRR6664358
SRR6664359,1,SRR6664359
SRR6664360,1,SRR6664360
SRR6664361,1,SRR6664361
SRR6664362,0,SRR6664362
SRR6664363,0,SRR6664363
SRR6664364,1,SRR6664364
SRR6664365,1,SRR6664365
SRR6664366,0,SRR6664366
SRR6664367,1,SRR6664367
SRR6664368,1,SRR6664368
SRR6664369,1,SRR6664369
SRR6664370,1,SRR6664370
SRR6664371,1,SRR6664371
SRR6664372,1,SRR6664372
SRR6664373,0,SRR6664373
SRR6664374,1,SRR6664374
SRR6664375,1,SRR6664375
SRR6664376,1,SRR6664376
SRR6664377,1,SRR6664377
SRR6664378,0,SRR6664378
SRR6664379,0,SRR6664379
SRR6664380,0,SRR6664380
SRR6664381,1,SRR6664381
SRR6664382,1,SRR6664382
SRR6664383,0,SRR6664383
SRR6664384,1,SRR6664384
SRR6664385,0,SRR6664385
SRR6664386,0,SRR6664386
SRR6664387,0,SRR6664387
SRR6664388,0,SRR6664388
SRR6664389,1,SRR6664389
SRR6664390,0,SRR6664390
SRR6664391,1,SRR6664391
SRR6664392,1,SRR6664392
SRR6664393,0,SRR6664393
SRR6664394,1,SRR6664394
SRR6664395,1,SRR6664395
SRR6664396,1,SRR6664396
SRR6664397,1,SRR6664397
SRR6664398,1,SRR6664398
SRR6664399,1,SRR6664399
SRR6664400,1,SRR6664400
SRR6664401,1,SRR6664401
SRR6664402,1,SRR6664402
SRR6664403,1,SRR6664403
SRR6664404,0,SRR6664404
SRR6664405,0,SRR6664405
SRR6664406,1,SRR6664406
SRR6664407,0,SRR6664407
SRR6664408,0,SRR6664408
SRR6664409,1,SRR6664409
SRR6664410,1,SRR6664410
SRR6664411,1,SRR6664411
SRR6664412,1,SRR6664412
SRR6664413,1,SRR6664413
SRR6664414,1,SRR6664414
SRR6664415,0,SRR6664415
SRR6664416,1,SRR6664416
SRR6664417,1,SRR6664417
SRR6664418,1,SRR6664418
SRR6664419,1,SRR6664419
SRR6664420,0,SRR6664420
SRR6664421,0,SRR6664421
SRR6664422,1,SRR6664422
SRR6664423,1,SRR6664423
SRR6664424,0,SRR6664424
SRR6664425,0,SRR6664425
SRR6664426,1,SRR6664426
SRR6664427,0,SRR6664427
SRR6664428,1,SRR6664428
SRR6664429,1,SRR6664429
SRR6664430,1,SRR6664430
SRR6664431,1,SRR6664431
SRR6664432,1,SRR6664432
SRR6664433,1,SRR6664433
SRR6664434,1,SRR6664434
SRR6664435,0,SRR6664435
SRR6664436,1,SRR6664436
SRR6664437,1,SRR6664437
SRR6664438,1,SRR6664438
SRR6664439,1,SRR6664439
SRR6664440,1,SRR6664440
SRR6664441,1,SRR6664441
SRR6664442,0,SRR6664442
SRR6664443,0,SRR6664443
SRR6664444,1,SRR6664444
SRR6664445,1,SRR6664445
SRR6664446,1,SRR6664446
SRR6664447,1,SRR6664447
SRR6664448,0,SRR6664448
SRR6664449,0,SRR6664449
SRR6664450,1,SRR6664450
SRR6664451,0,SRR6664451
SRR6664452,1,SRR6664452
SRR6664453,0,SRR6664453
SRR6664454,1,SRR6664454
SRR6664455,1,SRR6664455
SRR6664456,1,SRR6664456
SRR6664457,1,SRR6664457
SRR6664458,1,SRR6664458
SRR6664459,1,SRR6664459
SRR6664460,1,SRR6664460
SRR6664461,1,SRR6664461
SRR6664462,1,SRR6664462
SRR6664463,1,SRR6664463
SRR6664464,1,SRR6664464
SRR6664465,1,SRR6664465
SRR6664466,1,SRR6664466
SRR6664467,1,SRR6664467
SRR6664468,1,SRR6664468
SRR6664469,0,SRR6664469
SRR6664470,0,SRR6664470
SRR6664471,1,SRR6664471
SRR6664472,1,SRR6664472
SRR6664473,1,SRR6664473
SRR6664474,1,SRR6664474
SRR6664475,0,SRR6664475
SRR6664476,1,SRR6664476
SRR6664477,0,SRR6664477
SRR6664478,1,SRR6664478
SRR6664479,1,SRR6664479
SRR6664480,1,SRR6664480
SRR6664481,0,SRR6664481
SRR6664482,0,SRR6664482
SRR6664483,0,SRR6664483
SRR6664484,1,SRR6664484
SRR6664485,1,SRR6664485
SRR6664486,1,SRR6664486
SRR6664487,0,SRR6664487
SRR6664488,0,SRR6664488
SRR6664489,1,SRR6664489
SRR6664490,1,SRR6664490
SRR6664491,1,SRR6664491
SRR6664492,1,SRR6664492
SRR6664493,1,SRR6664493
SRR6664494,1,SRR6664494
SRR6664495,1,SRR6664495
SRR6664496,1,SRR6664496
SRR6664497,1,SRR6664497
SRR6664498,1,SRR6664498
SRR6664499,1,SRR6664499
SRR6664500,0,SRR6664500
SRR6664501,1,SRR6664501
SRR6664502,1,SRR6664502
SRR6664503,1,SRR6664503
SRR6664504,0,SRR6664504
SRR6664505,1,SRR6664505
SRR6664506,0,SRR6664506
SRR6664507,0,SRR6664507
SRR6664508,1,SRR6664508
SRR6664509,1,SRR6664509
SRR6664510,1,SRR6664510
SRR6664511,0,SRR6664511
SRR6664512,1,SRR6664512
