Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id,ENA_first_public,ENA-LAST-UPDATE,Scientific_Name,ENA_first_public,ENA_last_update,INSDC_center_alias
ERR4775526,WGS,101,19190,PRJEB37924,SAMEA7501053,44534,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645362,SAMEA7501053,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:15:00Z,1,SAMEA7501053,ibs_1,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_1,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,human metagenome,,,
ERR4775527,WGS,126,79184574,PRJEB37924,SAMEA7501054,43449936,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645363,SAMEA7501054,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:16:00Z,1,SAMEA7501054,ibs_2,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_2,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,human metagenome,,,
ERR4775528,WGS,101,2417031,PRJEB37924,SAMEA7501055,1489856,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645364,SAMEA7501055,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:15:00Z,1,SAMEA7501055,ibs_3,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_3,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,human metagenome,,,
ERR4775529,WGS,101,3788510,PRJEB37924,SAMEA7501056,2224523,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645365,SAMEA7501056,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:15:00Z,1,SAMEA7501056,ibs_4,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_4,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,human metagenome,,,
ERR4775530,WGS,101,168112278,PRJEB37924,SAMEA7501057,92679508,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645366,SAMEA7501057,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:16:00Z,1,SAMEA7501057,ibs_5,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_5,2020-10-30T04:08:00Z,2020-10-29T18:50:14Z,human metagenome,,,
ERR4775531,WGS,101,178075221,PRJEB37924,SAMEA7501058,97920180,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645367,SAMEA7501058,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501058,ibs_6,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_6,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775532,WGS,101,159374768,PRJEB37924,SAMEA7501059,83367578,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645368,SAMEA7501059,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501059,ibs_7,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_7,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775533,WGS,101,131821463,PRJEB37924,SAMEA7501060,73505308,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645369,SAMEA7501060,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501060,ibs_8,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_8,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775534,WGS,101,213409364,PRJEB37924,SAMEA7501061,114244080,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645370,SAMEA7501061,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501061,ibs_9,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_9,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775535,WGS,101,203556612,PRJEB37924,SAMEA7501062,108301644,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645371,SAMEA7501062,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501062,ibs_10,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_10,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775536,WGS,101,113364521,PRJEB37924,SAMEA7501063,61817144,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645372,SAMEA7501063,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:17:00Z,1,SAMEA7501063,ibs_11,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_11,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
ERR4775537,WGS,101,156140849,PRJEB37924,SAMEA7501064,89762287,MAYO CLINIC,2016,human metagenome,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2020-10-30,2020-10-30,lower digestive tract,rectum,feces,ERX4645373,SAMEA7501064,USA,North America,USA,44.9 N,93.2 W,human-gut,MAYO,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,public,Illumina HiSeq 4000,metagenome,unspecified,SINGLE,PCR,METAGENOMIC,human metagenome,ILLUMINA,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,2020-10-31T00:00:00Z,2020-11-05T22:16:00Z,1,SAMEA7501064,ibs_12,"Illumina HiSeq\, single-end reads\, 100 bp length",ERP121278,ibs_12,2020-10-30T04:08:00Z,2020-10-29T18:50:15Z,human metagenome,,,
