,Tag,Group
1,1,1
2,0,2
3,0,3
4,1,4
5,1,5
6,1,6
7,1,7
8,0,8
9,1,9
10,1,10
11,0,11
12,1,12
13,0,13
14,1,14
15,1,15
16,1,16
17,0,17
18,1,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,1,28
29,0,29
30,1,30
31,0,31
32,1,32
33,1,33
34,0,34
35,1,35
36,1,36
37,0,37
38,1,38
39,0,39
40,1,40
41,1,41
42,1,42
43,0,43
44,0,44
45,0,45
46,1,46
47,0,47
48,1,48
49,1,49
50,0,50
51,1,51
52,1,52
53,0,53
54,1,54
55,0,55
56,0,56
57,1,57
58,0,58
59,1,59
60,1,60
61,1,61
62,0,62
63,0,63
64,1,64
65,0,65
66,1,66
67,1,67
68,1,68
69,1,69
70,1,70
71,1,71
72,1,72
73,0,73
74,1,74
75,1,75
76,1,76
77,1,77
78,1,78
79,1,79
80,1,80
81,0,81
82,1,82
83,1,83
84,1,84
85,0,85
86,1,86
87,0,87
88,1,88
89,1,89
90,1,90
91,1,91
92,1,92
93,1,93
94,1,94
95,1,95
96,1,96
97,0,97
98,0,98
99,1,99
100,1,100
101,1,101
102,1,102
103,0,103
104,0,104
105,1,105
106,0,106
107,1,107
108,1,108
109,1,109
110,1,110
111,1,111
112,1,112
113,1,113
114,1,114
115,0,115
116,1,116
117,0,117
118,1,118
119,1,119
120,1,120
121,1,121
122,1,122
123,1,123
124,1,124
125,1,125
126,1,126
127,0,127
128,1,128
129,1,129
130,1,130
131,1,131
132,1,132
133,1,133
134,1,134
135,1,135
136,1,136
137,0,137
138,1,138
139,1,139
140,0,140
141,0,141
142,1,142
143,0,143
144,1,144
145,0,145
146,1,146
147,1,147
148,1,148
149,1,149
150,1,150
151,1,151
152,1,152
153,0,153
154,1,154
155,1,155
156,0,156
157,1,157
158,1,158
159,0,159
160,0,160
161,1,161
162,1,162
163,0,163
164,1,164
165,0,165
166,1,166
167,1,167
168,0,168
169,1,169
170,1,170
171,1,171
172,1,172
173,1,173
174,1,174
175,1,175
176,1,176
177,0,177
178,0,178
179,0,179
180,1,180
181,1,181
182,1,182
183,0,183
184,0,184
185,0,185
186,1,186
187,0,187
188,0,188
189,1,189
190,0,190
191,1,191
192,0,192
193,0,193
194,1,194
195,0,195
196,1,196
197,1,197
198,0,198
199,1,199
200,0,200
201,1,201
202,1,202
203,0,203
204,0,204
205,1,205
206,1,206
207,0,207
208,0,208
209,1,209
210,1,210
211,1,211
212,1,212
213,1,213
214,0,214
215,1,215
216,1,216
217,0,217
218,0,218
219,1,219
220,1,220
221,1,221
222,0,222
223,0,223
224,1,224
225,1,225
226,1,226
227,1,227
228,1,228
229,0,229
230,1,230
231,0,231
232,1,232
233,0,233
234,0,234
235,0,235
236,1,236
237,1,237
238,1,238
239,1,239
240,1,240
241,0,241
242,1,242
243,0,243
244,0,244
245,1,245
246,1,246
247,1,247
248,1,248
249,0,249
250,1,250
251,0,251
252,1,252
253,1,253
