ID,Tag,Group
ERR1912946,0,ERR1912946
ERR1912947,0,ERR1912947
ERR1912948,0,ERR1912948
ERR1912949,1,ERR1912949
ERR1912950,1,ERR1912950
ERR1912951,1,ERR1912951
ERR1912952,1,ERR1912952
ERR1912953,1,ERR1912953
ERR1912954,1,ERR1912954
ERR1912955,1,ERR1912955
ERR1912956,1,ERR1912956
ERR1912957,0,ERR1912957
ERR1912958,1,ERR1912958
ERR1912959,1,ERR1912959
ERR1912960,1,ERR1912960
ERR1912961,0,ERR1912961
ERR1912962,0,ERR1912962
ERR1912963,0,ERR1912963
ERR1912964,1,ERR1912964
ERR1912965,1,ERR1912965
ERR1912966,1,ERR1912966
ERR1912967,1,ERR1912967
ERR1912968,1,ERR1912968
ERR1912969,1,ERR1912969
ERR1912970,1,ERR1912970
ERR1912971,0,ERR1912971
ERR1912972,1,ERR1912972
ERR1912973,1,ERR1912973
ERR1912974,1,ERR1912974
ERR1912975,1,ERR1912975
ERR1912976,1,ERR1912976
ERR1912977,1,ERR1912977
ERR1912978,1,ERR1912978
ERR1912979,0,ERR1912979
ERR1912980,0,ERR1912980
ERR1912981,0,ERR1912981
ERR1912982,0,ERR1912982
ERR1912983,1,ERR1912983
ERR1912984,1,ERR1912984
ERR1912985,1,ERR1912985
ERR1912986,1,ERR1912986
ERR1912987,1,ERR1912987
ERR1912988,1,ERR1912988
ERR1912989,0,ERR1912989
ERR1912990,0,ERR1912990
ERR1912991,0,ERR1912991
ERR1912992,0,ERR1912992
ERR1912993,0,ERR1912993
ERR1912994,1,ERR1912994
ERR1912995,1,ERR1912995
ERR1912996,1,ERR1912996
ERR1912997,1,ERR1912997
ERR1912998,1,ERR1912998
ERR1912999,1,ERR1912999
ERR1913000,1,ERR1913000
ERR1913001,1,ERR1913001
ERR1913002,0,ERR1913002
ERR1913003,0,ERR1913003
ERR1913004,0,ERR1913004
ERR1913005,0,ERR1913005
ERR1913006,0,ERR1913006
ERR1913007,0,ERR1913007
ERR1913008,0,ERR1913008
ERR1913009,0,ERR1913009
ERR1913010,1,ERR1913010
ERR1913011,1,ERR1913011
ERR1913012,1,ERR1913012
ERR1913013,1,ERR1913013
ERR1913014,0,ERR1913014
ERR1913015,0,ERR1913015
ERR1913016,0,ERR1913016
ERR1913017,1,ERR1913017
ERR1913018,1,ERR1913018
ERR1913019,1,ERR1913019
ERR1913020,1,ERR1913020
ERR1913021,1,ERR1913021
ERR1913022,1,ERR1913022
ERR1913023,1,ERR1913023
ERR1913024,1,ERR1913024
ERR1913025,0,ERR1913025
ERR1913026,0,ERR1913026
ERR1913027,0,ERR1913027
ERR1913028,0,ERR1913028
ERR1913029,0,ERR1913029
ERR1913030,0,ERR1913030
ERR1913031,0,ERR1913031
ERR1913032,1,ERR1913032
ERR1913033,1,ERR1913033
ERR1913034,1,ERR1913034
ERR1913035,1,ERR1913035
ERR1913036,0,ERR1913036
ERR1913037,1,ERR1913037
ERR1913038,1,ERR1913038
ERR1913039,1,ERR1913039
ERR1913040,0,ERR1913040
ERR1913041,0,ERR1913041
ERR1913042,0,ERR1913042
ERR1913043,0,ERR1913043
ERR1913044,0,ERR1913044
ERR1913045,0,ERR1913045
ERR1913046,0,ERR1913046
ERR1913047,1,ERR1913047
ERR1913048,1,ERR1913048
ERR1913049,1,ERR1913049
ERR1913050,1,ERR1913050
ERR1913051,1,ERR1913051
ERR1913052,1,ERR1913052
ERR1913053,1,ERR1913053
ERR1913054,0,ERR1913054
ERR1913055,0,ERR1913055
ERR1913056,0,ERR1913056
ERR1913057,1,ERR1913057
ERR1913058,1,ERR1913058
ERR1913059,1,ERR1913059
ERR1913060,0,ERR1913060
ERR1913061,0,ERR1913061
ERR1913062,0,ERR1913062
ERR1913063,0,ERR1913063
ERR1913064,1,ERR1913064
ERR1913065,1,ERR1913065
ERR1913066,1,ERR1913066
ERR1913067,1,ERR1913067
ERR1913068,1,ERR1913068
ERR1913069,1,ERR1913069
ERR1913070,1,ERR1913070
ERR1913071,1,ERR1913071
ERR1913072,1,ERR1913072
ERR1913073,1,ERR1913073
ERR1913074,1,ERR1913074
ERR1913075,1,ERR1913075
ERR1913076,0,ERR1913076
ERR1913077,0,ERR1913077
ERR1913078,0,ERR1913078
